"Site 2","68","3652654"
"Site 21","58","2204424"
"Site 9","61","2068576"
"Site 3","61","1679909"
"Site 7","62","1614841"
"Site 6","59","1202448"
"Site 8","62","1129439"
"Site 16","59","1019257"
"Site 13","63","761370"
"Site 10","59","606791"
"Site 20","60","562811"
"Site 19","58","236470"
"Main Site","72","200615"
"Site 23","57","130674"
"Site 22","57","29086"
"Site 17","49","25037"
"Site 11","58","22535"
"Site 18","55","18706"
"Site 14","52","6536"
"Site 12","52","6304"
"Site 15","57","2866"
"Site 24","47","1692"
"Site 25","47","630"
