"Site 21","58","1315660"
"Site 2","68","1018388"
"Site 10","59","695880"
"Site 3","61","648316"
"Site 16","59","566020"
"Site 7","62","556568"
"Site 9","61","522294"
"Site 8","62","431340"
"Site 6","59","389863"
"Site 20","60","360759"
"Site 13","63","232949"
"Site 19","58","213855"
"Site 23","57","104697"
"Main Site","72","99112"
"Site 17","49","25810"
"Site 22","57","9740"
"Site 18","55","5609"
"Site 11","58","2773"
"Site 15","57","1503"
"Site 24","47","1451"
"Site 14","52","1035"
"Site 12","52","921"
"Site 25","47","408"
